119736,FL,CLAY COUNTY,498960
448094,FL,CLAY COUNTY,1322376.3
206893,FL,CLAY COUNTY,190724.4
333743,FL,CLAY COUNTY,0
172534,FL,CLAY COUNTY,0
785275,FL,CLAY COUNTY,0
995932,FL,CLAY COUNTY,0
937659,FL,SUWANNEE COUNTY,0
294022,FL,SUWANNEE COUNTY,0
410500,FL,SUWANNEE COUNTY,0
524433,FL,SUWANNEE COUNTY
779298,FL,SUWANNEE COUNTY
491831,FL,SUWANNEE COUNTY
920232,FL,NASSAU COUNTY
727659,FL,NASSAU COUNTY
471817,FL,NASSAU COUNTY
983043,FL,NASSAU COUNTY
289305,FL,COLUMBIA COUNTY,135450
697409,FL,COLUMBIA COUNTY,60300
633944,FL,COLUMBIA COUNTY,22500
963511,FL,COLUMBIA COUNTY,0
934992,FL,ST  JOHNS COUNTY,0
645841,FL,ST  JOHNS COUNTY,0
747846,FL,ST  JOHNS COUNTY,0
482457,FL,ST  JOHNS COUNTY,0
310177,FL,NASSAU COUNTY,185040
865452,FL,NASSAU COUNTY,0
490641,FL,BAKER COUNTY,0
443968,FL,BAKER COUNTY,0
433688,FL,CLAY COUNTY,0
168578,FL,CLAY COUNTY,945000
294375,FL,CLAY COUNTY,76500
